"","Goalkeeper"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Min","CS","GA","Sv","YC","RC","PKS","TkW","DIS","G","KP","AT","Int","CLR","CoS","AER","HCS","Sm","OG","SOT"
"*03vll*","F","Michail Antonio","WHU","F","-","WHU 1<br/>@MCI 3 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06fvn*","F","Beto","EVE","F","-","EVE 1<br/>@ARS 2 F","22.5","11.25","2","152","0","2","0","1","2","4","0","0","0","0","5","6","0","11","0","0","0","3","0"
"*061xs*","F","Julio Enciso","BHA","F","-","MUN 2<br/>@BHA 0 F","3.5","3.5","1","17","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0"
"*067yv*","F","Cody Gakpo","LIV","F","-","WOL 0<br/>@LIV 2 F","31.5","7.88","4","239","1","3","0","1","2","2","0","0","0","1","4","5","0","3","0","0","0","4","0"
"*061ya*","F","Brennan Johnson","NOT/TOT","F","-","TOT 3<br/>@SHU 0 F","136.5","11.38","12","877","1","16","4","9","5","7","0","0","9","5","6","12","0","2","0","0","0","14","3"
"*056mf*","F","Neal Maupay","EVE/BRF","F","-","NEW 4<br/>@BRF 2 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04ge9*","F","Eddie Nketiah","ARS","F","-","EVE 1<br/>@ARS 2 F","84","12","7","456","4","4","1","4","1","6","0","0","0","2","3","6","0","10","0","1","0","2","4"
"*04io4*","F","Richarlison","TOT","F","-","TOT 3<br/>@SHU 0 F","29.5","5.9","5","316","0","3","1","2","4","16","1","0","1","3","5","2","2","7","0","0","0","0","3"
"*03sbh*","F","Enes Unal","MCI/BOU","F","-","BOU 1<br/>@CHE 2 F","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05mxc*","F","Timo Werner","CHE/TOT","F","-","TOT 3<br/>@SHU 0 F","61","10.17","6","301","2","5","1","6","1","3","1","0","3","0","0","6","0","1","0","0","0","8","0"
"*037mo*","F","Willian","FUL","F","-","FUL 4<br/>@LUT 2 F","92","11.5","8","635","0","15","1","5","4","4","0","0","10","3","2","11","0","2","0","0","0","9","2"
"","Totals","","","","","","4072.5","10.47","389","30,334","48","308","42","150","331","311","55","1","111","273","569","295","109","380","0","4","2","478","107"

