"Player","Team","Position","Team","From","To","Date (PST)","Gameweek"
"Cristian Romero","TOT","D","mg","Reserve","Active","Fri Dec 29, 2023, 12:10PM","20"
"Mykhailo Mudryk","CHE","M","vu","Reserve","Inj Res","Fri Dec 29, 2023, 9:29AM","20"
"Ben Chilwell","CHE","D","vu","Inj Res","Reserve","Fri Dec 29, 2023, 9:29AM","20"
"Joseph Gomez","LIV","D","tj","Active","Reserve","Fri Dec 29, 2023, 8:56AM","20"
"Luke Shaw","MUN","D","tj","Reserve","Active","Fri Dec 29, 2023, 8:56AM","20"
"Mario Lemina","WOL","M","katabe","Reserve","Active","Fri Dec 29, 2023, 8:27AM","20"
"Ross Barkley","CHE/LUT","M","sean","Reserve","Active","Fri Dec 29, 2023, 8:10AM","20"
"Timothy Castagne","LEI/FUL","D","sean","Active","Reserve","Fri Dec 29, 2023, 8:10AM","20"
"Christopher Nkunku","CHE","F","vu","Reserve","Active","Fri Dec 29, 2023, 7:22AM","20"
"Mykhailo Mudryk","CHE","M","vu","Active","Reserve","Fri Dec 29, 2023, 7:22AM","20"
"Christopher Nkunku","CHE","F","vu","Active","Reserve","Fri Dec 29, 2023, 7:12AM","20"
"Mykhailo Mudryk","CHE","M","vu","Reserve","Active","Fri Dec 29, 2023, 7:12AM","20"
"Joao Pedro","BHA","F","vu","Reserve","Active","Fri Dec 29, 2023, 7:12AM","20"
"Chris Wood","NOT","F","vu","Active","Reserve","Fri Dec 29, 2023, 7:12AM","20"
"Alejandro Garnacho","MUN","M","vu","Active","Reserve","Fri Dec 29, 2023, 7:11AM","20"
"Konstantinos Tsimikas","LIV","D","vu","Reserve","Active","Fri Dec 29, 2023, 7:11AM","20"
"Chris Wood","NOT","F","vu","Reserve","Active","Fri Dec 29, 2023, 7:07AM","20"
"Joao Pedro","BHA","F","vu","Active","Reserve","Fri Dec 29, 2023, 7:07AM","20"
"Callum Wilson","NEW","F","katabe","Active","Reserve","Thu Dec 28, 2023, 9:55PM","20"
"Hwang Hee-Chan","WOL","F","katabe","Reserve","Active","Thu Dec 28, 2023, 9:55PM","20"
"Vitaly Janelt","BRF","M","katabe","Reserve","Active","Thu Dec 28, 2023, 9:53PM","20"
"Sean Longstaff","NEW","M","katabe","Active","Reserve","Thu Dec 28, 2023, 9:53PM","20"
"Sven Botman","NEW","D","katabe","Active","Reserve","Thu Dec 28, 2023, 9:53PM","20"
"Ruben Dias","MCI","D","katabe","Reserve","Active","Thu Dec 28, 2023, 9:53PM","20"
"Jordan Pickford","EVE","G","katabe","Reserve","Active","Thu Dec 28, 2023, 9:53PM","20"
"Martin Dubravka","NEW","G","katabe","Active","Reserve","Thu Dec 28, 2023, 9:53PM","20"
"Luis Diaz","LIV","F","rafa","Reserve","Active","Thu Dec 28, 2023, 9:52PM","20"
"Declan Rice","ARS","M","rafa","Active","Reserve","Thu Dec 28, 2023, 9:52PM","20"
"Dan Burn","NEW","D","rafa","Active","Reserve","Thu Dec 28, 2023, 9:50PM","20"
"Gabriel Magalhaes","ARS","D","rafa","Reserve","Active","Thu Dec 28, 2023, 9:50PM","20"
"Raheem Sterling","CHE","F","rafa","Reserve","Active","Thu Dec 28, 2023, 9:50PM","20"
"Antoine Semenyo","BOU","F","rafa","Active","Reserve","Thu Dec 28, 2023, 9:50PM","20"
"Odsonne Edouard","CRY","F","mg","Reserve","Active","Thu Dec 28, 2023, 7:29PM","20"
"Nathan Collins","BRF","D","mg","Active","Reserve","Thu Dec 28, 2023, 7:29PM","20"
"Ryan Christie","BOU","M","mg","Active","Reserve","Thu Dec 28, 2023, 7:02PM","20"
"Conor Gallagher","CHE","M","mg","Reserve","Active","Thu Dec 28, 2023, 7:02PM","20"
"Rico Lewis","MCI","D","ben","Reserve","Active","Thu Dec 28, 2023, 5:51PM","20"
"Miguel Almiron","NEW","M","ben","Active","Reserve","Thu Dec 28, 2023, 5:51PM","20"
"Tyrick Mitchell","CRY","D","ben","Active","Reserve","Thu Dec 28, 2023, 5:51PM","20"
"Nathan Ake","MCI","D","ben","Reserve","Active","Thu Dec 28, 2023, 5:51PM","20"
"Neco Williams","NOT","D","sean","Active","Reserve","Thu Dec 28, 2023, 5:45PM","20"
"Diogo Jota","LIV","F","sean","Reserve","Active","Thu Dec 28, 2023, 5:45PM","20"
"Lewis Miley","NEW","M","sean","Active","Reserve","Thu Dec 28, 2023, 5:45PM","20"
"Vladimir Coufal","WHU","D","sean","Reserve","Active","Thu Dec 28, 2023, 5:45PM","20"
"Dejan Kulusevski","TOT","M","sean","Active","Reserve","Thu Dec 28, 2023, 5:45PM","20"
"Abdoulaye Doucoure","EVE","M","sean","Reserve","Active","Thu Dec 28, 2023, 5:45PM","20"
"Manor Solomon","TOT","F","mg","Active","Reserve","Thu Dec 28, 2023, 4:12PM","19"
"John McGinn","AVL","M","mg","Reserve","Active","Thu Dec 28, 2023, 4:12PM","19"
"Ryan Christie","BOU","M","mg","Reserve","Active","Thu Dec 28, 2023, 4:12PM","19"
"Cristian Romero","TOT","D","mg","Active","Reserve","Thu Dec 28, 2023, 4:12PM","19"
"Lewis Miley","NEW","M","sean","Reserve","Active","Thu Dec 28, 2023, 4:12PM","19"
"Jamaal Lascelles","NEW","D","sean","Active","Reserve","Thu Dec 28, 2023, 4:12PM","19"
"Cody Gakpo","LIV","F","tj","Reserve","Active","Thu Dec 28, 2023, 4:12PM","19"
"Luke Shaw","MUN","D","tj","Active","Reserve","Thu Dec 28, 2023, 4:12PM","19"
"Raheem Sterling","CHE","F","rafa","Active","Reserve","Thu Dec 28, 2023, 4:12PM","19"
"Antoine Semenyo","BOU","F","rafa","Reserve","Active","Thu Dec 28, 2023, 4:12PM","19"
"Facundo Buonanotte","BHA","M","vu","Active","Reserve","Thu Dec 28, 2023, 3:20PM","20"
"Joao Pedro","BHA","F","vu","Reserve","Active","Thu Dec 28, 2023, 3:20PM","20"
"Marcus Tavernier","BOU","M","tj","Active","Reserve","Thu Dec 28, 2023, 2:12PM","20"
"Luke Shaw","MUN","D","tj","Active","Reserve","Thu Dec 28, 2023, 2:12PM","20"
"Dwight McNeil","EVE","M","tj","Reserve","Active","Thu Dec 28, 2023, 2:12PM","20"
"Alex Moreno","AVL","D","tj","Reserve","Active","Thu Dec 28, 2023, 2:12PM","20"
"Pape Sarr","TOT","M","aj","Active","Reserve","Thu Dec 28, 2023, 12:58PM","20"
"Pervis Estupinan","BHA","D","aj","Reserve","Active","Thu Dec 28, 2023, 12:58PM","20"
"Willy Boly","NOT","D","aj","Reserve","Active","Thu Dec 28, 2023, 6:05AM","20"
"Lewis Dunk","BHA","D","aj","Active","Reserve","Thu Dec 28, 2023, 6:05AM","20"
"Jack Grealish","MCI","M","rafa","Reserve","Active","Wed Dec 27, 2023, 12:08PM","19"
"Gabriel Magalhaes","ARS","D","rafa","Active","Reserve","Wed Dec 27, 2023, 12:08PM","19"
"Rico Lewis","MCI","D","ben","Active","Reserve","Wed Dec 27, 2023, 11:30AM","19"
"Jack Harrison","LEE/EVE","M","ben","Reserve","Active","Wed Dec 27, 2023, 11:30AM","19"
"Dwight McNeil","EVE","M","tj","Active","Reserve","Wed Dec 27, 2023, 10:42AM","19"
"Mohammed Kudus","WHU","M","tj","Reserve","Active","Wed Dec 27, 2023, 10:42AM","19"
"Mohammed Kudus","WHU","M","tj","Active","Reserve","Wed Dec 27, 2023, 10:42AM","19"
"Dwight McNeil","EVE","M","tj","Reserve","Active","Wed Dec 27, 2023, 10:42AM","19"
"Cristian Romero","TOT","D","mg","Inj Res","Active","Wed Dec 27, 2023, 8:07AM","19"
"Reece James","CHE","D","mg","Active","Inj Res","Wed Dec 27, 2023, 8:07AM","19"
"Joao Pedro","BHA","F","vu","Active","Reserve","Tue Dec 26, 2023, 4:37PM","20"
"Ivan Toney","BRF","F","vu","Reserve","Active","Tue Dec 26, 2023, 4:37PM","20"
"Ben Chilwell","CHE","D","vu","Reserve","Inj Res","Tue Dec 26, 2023, 4:35PM","20"
"Joelinton","NEW","M","vu","Inj Res","Reserve","Tue Dec 26, 2023, 4:35PM","20"
"Giovani Lo Celso","TOT","M","vu","Active","Reserve","Tue Dec 26, 2023, 4:35PM","20"
"Mykhailo Mudryk","CHE","M","vu","Active","Reserve","Tue Dec 26, 2023, 4:35PM","20"
"Cole Palmer","MCI/CHE","M","vu","Reserve","Active","Tue Dec 26, 2023, 4:35PM","20"
"Alejandro Garnacho","MUN","M","vu","Reserve","Active","Tue Dec 26, 2023, 4:35PM","20"
"Mykhailo Mudryk","CHE","M","vu","Reserve","Active","Tue Dec 26, 2023, 3:56PM","19"
"Ben Chilwell","CHE","D","vu","Active","Reserve","Tue Dec 26, 2023, 3:56PM","19"
"Rico Lewis","MCI","D","ben","Reserve","Active","Tue Dec 26, 2023, 2:30PM","19"
"Nathan Ake","MCI","D","ben","Active","Reserve","Tue Dec 26, 2023, 2:30PM","19"
"Conor Gallagher","CHE","M","mg","Active","Reserve","Tue Dec 26, 2023, 2:04PM","19"
"Vitalii Mykolenko","EVE","D","mg","Reserve","Active","Tue Dec 26, 2023, 2:04PM","19"
"Odsonne Edouard","CRY","F","mg","Active","Reserve","Tue Dec 26, 2023, 1:54PM","19"
"Conor Gallagher","CHE","M","mg","Reserve","Active","Tue Dec 26, 2023, 1:54PM","19"
"Joel Ward","CRY","D","mg","Reserve","Active","Tue Dec 26, 2023, 1:54PM","19"
"Vitalii Mykolenko","EVE","D","mg","Active","Reserve","Tue Dec 26, 2023, 1:54PM","19"
"Conor Gallagher","CHE","M","mg","Active","Reserve","Tue Dec 26, 2023, 1:50PM","19"
"Vitalii Mykolenko","EVE","D","mg","Reserve","Active","Tue Dec 26, 2023, 1:50PM","19"
"Pedro Porro","TOT","D","mg","Reserve","Active","Tue Dec 26, 2023, 12:27PM","19"
"Vitalii Mykolenko","EVE","D","mg","Active","Reserve","Tue Dec 26, 2023, 12:27PM","19"
"Vitalii Mykolenko","EVE","D","mg","Reserve","Active","Tue Dec 26, 2023, 12:27PM","19"
"Pedro Porro","TOT","D","mg","Active","Reserve","Tue Dec 26, 2023, 12:27PM","19"
"Luke Shaw","MUN","D","tj","Reserve","Active","Tue Dec 26, 2023, 11:58AM","19"
"Lucas Digne","AVL","D","tj","Active","Reserve","Tue Dec 26, 2023, 11:58AM","19"
"Scott McTominay","MUN","M","ben","Active","Reserve","Tue Dec 26, 2023, 11:29AM","19"
"Nathan Ake","MCI","D","ben","Reserve","Active","Tue Dec 26, 2023, 11:29AM","19"
"Lucas Digne","AVL","D","tj","Reserve","Active","Tue Dec 26, 2023, 10:06AM","19"
"Luke Shaw","MUN","D","tj","Active","Reserve","Tue Dec 26, 2023, 10:06AM","19"
"Lucas Digne","AVL","D","tj","Active","Reserve","Tue Dec 26, 2023, 10:05AM","19"
"Luke Shaw","MUN","D","tj","Reserve","Active","Tue Dec 26, 2023, 10:05AM","19"
"Axel Disasi","CHE","D","rafa","Reserve","Active","Tue Dec 26, 2023, 9:24AM","19"
"Luis Diaz","LIV","F","rafa","Active","Reserve","Tue Dec 26, 2023, 9:24AM","19"
"Ibrahima Konate","LIV","D","mg","Active","Reserve","Tue Dec 26, 2023, 8:44AM","19"
"Dominik Szoboszlai","LIV","M","tj","Active","Reserve","Tue Dec 26, 2023, 8:39AM","19"
"Joseph Gomez","LIV","D","tj","Reserve","Active","Tue Dec 26, 2023, 8:39AM","19"
"Cristian Romero","TOT","D","mg","Reserve","Inj Res","Tue Dec 26, 2023, 7:04AM","19"
"Alejandro Garnacho","MUN","M","vu","Active","Reserve","Tue Dec 26, 2023, 7:03AM","19"
"Giovani Lo Celso","TOT","M","vu","Reserve","Active","Tue Dec 26, 2023, 7:03AM","19"
"Ivan Toney","BRF","F","vu","Active","Reserve","Tue Dec 26, 2023, 6:49AM","19"
"Joao Pedro","BHA","F","vu","Reserve","Active","Tue Dec 26, 2023, 6:49AM","19"
"Cristian Romero","TOT","D","mg","Inj Res","Reserve","Tue Dec 26, 2023, 6:27AM","19"
"Willian","FUL","F","ben","Reserve","Inj Res","Tue Dec 26, 2023, 6:13AM","19"
"Willian","FUL","F","ben","Active","Reserve","Tue Dec 26, 2023, 6:13AM","19"
"Marcus Rashford","MUN","F","ben","Reserve","Active","Tue Dec 26, 2023, 6:13AM","19"
"Nathan Ake","MCI","D","ben","Active","Reserve","Mon Dec 25, 2023, 11:27PM","19"
"Tyrick Mitchell","CRY","D","ben","Reserve","Active","Mon Dec 25, 2023, 11:27PM","19"
"Willian","FUL","F","ben","Inj Res","Active","Mon Dec 25, 2023, 11:25PM","19"
"Jack Harrison","LEE/EVE","M","ben","Active","Reserve","Mon Dec 25, 2023, 11:25PM","19"
"Jose Sa","WOL","G","mg","Inj Res","Reserve","Mon Dec 25, 2023, 12:36PM","19"
"Cristian Romero","TOT","D","mg","Reserve","Inj Res","Mon Dec 25, 2023, 12:36PM","19"
"John McGinn","AVL","M","mg","Active","Reserve","Mon Dec 25, 2023, 12:35PM","19"
"Odsonne Edouard","CRY","F","mg","Reserve","Active","Mon Dec 25, 2023, 12:35PM","19"
"John McGinn","AVL","M","mg","Reserve","Active","Mon Dec 25, 2023, 12:35PM","19"
"Odsonne Edouard","CRY","F","mg","Active","Reserve","Mon Dec 25, 2023, 12:35PM","19"
"Jordan Ayew","CRY","F","mg","Active","Reserve","Mon Dec 25, 2023, 12:32PM","19"
"John McGinn","AVL","M","mg","Active","Reserve","Mon Dec 25, 2023, 12:32PM","19"
"Odsonne Edouard","CRY","F","mg","Reserve","Active","Mon Dec 25, 2023, 12:32PM","19"
"Nathan Collins","BRF","D","mg","Reserve","Active","Mon Dec 25, 2023, 12:32PM","19"
"Christopher Nkunku","CHE","F","vu","Reserve","Active","Sun Dec 24, 2023, 2:25PM","19"
"Konstantinos Tsimikas","LIV","D","vu","Active","Reserve","Sun Dec 24, 2023, 2:25PM","19"
"Cole Palmer","MCI/CHE","M","vu","Active","Reserve","Sun Dec 24, 2023, 2:24PM","19"
"Alejandro Garnacho","MUN","M","vu","Reserve","Active","Sun Dec 24, 2023, 2:24PM","19"
"Alejandro Garnacho","MUN","M","vu","Active","Reserve","Sun Dec 24, 2023, 1:24PM","19"
"Konstantinos Tsimikas","LIV","D","vu","Reserve","Active","Sun Dec 24, 2023, 1:24PM","19"
"Jordan Ayew","CRY","F","mg","Reserve","Active","Sun Dec 24, 2023, 9:00AM","18"
"Odsonne Edouard","CRY","F","mg","Active","Reserve","Sun Dec 24, 2023, 9:00AM","18"
"Ethan Pinnock","BRF","D","tj","Active","Reserve","Sun Dec 24, 2023, 9:00AM","18"
"Dominik Szoboszlai","LIV","M","tj","Reserve","Active","Sun Dec 24, 2023, 9:00AM","18"
"Marcus Rashford","MUN","F","ben","Reserve","Active","Sun Dec 24, 2023, 9:00AM","18"
"Diego Carlos","AVL","D","ben","Active","Reserve","Sun Dec 24, 2023, 9:00AM","18"
"Ibrahima Konate","LIV","D","mg","Reserve","Active","Sun Dec 24, 2023, 8:23AM","19"
"Cristian Romero","TOT","D","mg","Active","Reserve","Sun Dec 24, 2023, 8:23AM","19"
"Ryan Christie","BOU","M","mg","Active","Reserve","Sun Dec 24, 2023, 8:22AM","19"
"Eberechi Eze","CRY","M","mg","Reserve","Active","Sun Dec 24, 2023, 8:22AM","19"
"Axel Disasi","CHE","D","rafa","Active","Reserve","Sun Dec 24, 2023, 7:39AM","19"
"Declan Rice","ARS","M","rafa","Reserve","Active","Sun Dec 24, 2023, 7:39AM","19"
"Declan Rice","ARS","M","rafa","Active","Reserve","Sun Dec 24, 2023, 7:22AM","19"
"Bernardo Silva","MCI","M","rafa","Reserve","Active","Sun Dec 24, 2023, 7:22AM","19"
"Dwight McNeil","EVE","M","tj","Active","Reserve","Sat Dec 23, 2023, 7:22PM","19"
"Jean-Philippe Mateta","CRY","F","tj","Reserve","Active","Sat Dec 23, 2023, 7:22PM","19"
"Dominik Szoboszlai","LIV","M","tj","Reserve","Active","Sat Dec 23, 2023, 4:23PM","19"
"Luke Shaw","MUN","D","tj","Active","Reserve","Sat Dec 23, 2023, 4:23PM","19"
"Manuel Akanji","MCI","D","aj","Reserve","Active","Sat Dec 23, 2023, 3:18PM","19"
"Willy Boly","NOT","D","aj","Active","Reserve","Sat Dec 23, 2023, 3:18PM","19"
"Andrew Robertson","LIV","D","sean","Reserve","Inj Res","Sat Dec 23, 2023, 2:07PM","19"
"Diogo Jota","LIV","F","sean","Inj Res","Reserve","Sat Dec 23, 2023, 2:07PM","19"
"Julian Alvarez","MCI","F","sean","Reserve","Active","Sat Dec 23, 2023, 2:07PM","19"
"Vladimir Coufal","WHU","D","sean","Active","Reserve","Sat Dec 23, 2023, 2:07PM","19"
"Lewis Miley","NEW","M","sean","Active","Reserve","Sat Dec 23, 2023, 2:07PM","19"
"Kyle Walker","MCI","D","sean","Reserve","Active","Sat Dec 23, 2023, 2:07PM","19"
"Ben Chilwell","CHE","D","vu","Reserve","Active","Sat Dec 23, 2023, 10:29AM","19"
"Ivan Toney","BRF","F","vu","Reserve","Active","Sat Dec 23, 2023, 10:29AM","19"
"Konstantinos Tsimikas","LIV","D","vu","Active","Reserve","Sat Dec 23, 2023, 10:29AM","19"
"Jacob Ramsey","AVL","M","vu","Active","Reserve","Sat Dec 23, 2023, 10:29AM","19"
"Tyrick Mitchell","CRY","D","ben","Inj Res","Reserve","Sat Dec 23, 2023, 6:52AM","19"
"Willian","FUL","F","ben","Reserve","Inj Res","Sat Dec 23, 2023, 6:52AM","19"
"Willian","FUL","F","ben","Active","Reserve","Sat Dec 23, 2023, 6:51AM","18"
"Alfie Doughty","LUT","M","ben","Reserve","Active","Sat Dec 23, 2023, 6:51AM","18"
"Harry Toffolo","NOT","D","tj","Active","Reserve","Fri Dec 22, 2023, 5:56PM","18"
"Ethan Pinnock","BRF","D","tj","Reserve","Active","Fri Dec 22, 2023, 5:56PM","18"
"Ethan Pinnock","BRF","D","tj","Active","Reserve","Fri Dec 22, 2023, 5:55PM","18"
"Harry Toffolo","NOT","D","tj","Reserve","Active","Fri Dec 22, 2023, 5:55PM","18"
"Rasmus Hojlund","MUN","F","tj","Active","Reserve","Fri Dec 22, 2023, 4:24PM","18"
"Marcos Senesi","BOU","D","tj","Reserve","Active","Fri Dec 22, 2023, 4:24PM","18"
"Rasmus Hojlund","MUN","F","tj","Reserve","Active","Fri Dec 22, 2023, 4:24PM","18"
"Marcos Senesi","BOU","D","tj","Active","Reserve","Fri Dec 22, 2023, 4:24PM","18"
"Matty Cash","AVL","D","ben","Active","Reserve","Fri Dec 22, 2023, 2:14PM","19"
"Destiny Udogie","TOT","D","ben","Reserve","Active","Fri Dec 22, 2023, 2:14PM","19"
"Diego Carlos","AVL","D","ben","Active","Reserve","Fri Dec 22, 2023, 2:14PM","19"
"Nathan Ake","MCI","D","ben","Reserve","Active","Fri Dec 22, 2023, 2:14PM","19"
"Lucas Digne","AVL","D","tj","Reserve","Active","Fri Dec 22, 2023, 11:27AM","18"
"Alex Moreno","AVL","D","tj","Active","Reserve","Fri Dec 22, 2023, 11:27AM","18"
"Valentino Livramento","NEW","D","vu","Reserve","Active","Thu Dec 21, 2023, 2:31PM","18"
"Nathan Patterson","EVE","D","vu","Active","Reserve","Thu Dec 21, 2023, 2:31PM","18"
"Alejandro Garnacho","MUN","M","vu","Reserve","Active","Thu Dec 21, 2023, 2:31PM","18"
"Ivan Toney","BRF","F","vu","Active","Reserve","Thu Dec 21, 2023, 2:31PM","18"
"Ben Chilwell","CHE","D","vu","Active","Reserve","Thu Dec 21, 2023, 2:31PM","18"
"Jacob Ramsey","AVL","M","vu","Reserve","Active","Thu Dec 21, 2023, 2:31PM","18"
"Ibrahima Konate","LIV","D","mg","Active","Reserve","Thu Dec 21, 2023, 1:56PM","18"
"Pedro Porro","TOT","D","mg","Reserve","Active","Thu Dec 21, 2023, 1:56PM","18"
"Vitalii Mykolenko","EVE","D","mg","Active","Reserve","Thu Dec 21, 2023, 1:56PM","18"
"Pedro Porro","TOT","D","mg","Active","Reserve","Thu Dec 21, 2023, 1:56PM","18"
"Cristian Romero","TOT","D","mg","Reserve","Active","Thu Dec 21, 2023, 1:56PM","18"
"Virgil van Dijk","LIV","D","mg","Reserve","Active","Thu Dec 21, 2023, 1:56PM","18"
"Virgil van Dijk","LIV","D","mg","Active","Reserve","Thu Dec 21, 2023, 1:56PM","18"
"Vitalii Mykolenko","EVE","D","mg","Reserve","Active","Thu Dec 21, 2023, 1:56PM","18"
"Ibrahima Konate","LIV","D","mg","Reserve","Active","Thu Dec 21, 2023, 1:56PM","18"
"Cristian Romero","TOT","D","mg","Active","Reserve","Thu Dec 21, 2023, 1:56PM","18"
"Abdoulaye Doucoure","EVE","M","sean","Active","Reserve","Thu Dec 21, 2023, 1:00PM","18"
"Michael Keane","EVE","D","sean","Reserve","Active","Thu Dec 21, 2023, 1:00PM","18"
"David Raya","BRF/ARS","G","ben","Active","Reserve","Thu Dec 21, 2023, 11:34AM","18"
"Guglielmo Vicario","TOT","G","ben","Reserve","Active","Thu Dec 21, 2023, 11:34AM","18"
"Reece James","CHE","D","mg","Reserve","Inj Res","Thu Dec 21, 2023, 11:02AM","18"
"John McGinn","AVL","M","mg","Reserve","Active","Thu Dec 21, 2023, 11:01AM","18"
"Eberechi Eze","CRY","M","mg","Active","Reserve","Thu Dec 21, 2023, 11:01AM","18"
"Reece James","CHE","D","mg","Active","Reserve","Thu Dec 21, 2023, 11:01AM","18"
"Odsonne Edouard","CRY","F","mg","Reserve","Active","Thu Dec 21, 2023, 11:01AM","18"
"Jordan Pickford","EVE","G","katabe","Active","Reserve","Thu Dec 21, 2023, 10:11AM","18"
"Martin Dubravka","NEW","G","katabe","Reserve","Active","Thu Dec 21, 2023, 10:11AM","18"
"Carlton Morris","LUT","F","md","Active","Reserve","Thu Dec 21, 2023, 8:40AM","18"
"Thiago Silva","CHE","D","md","Reserve","Active","Thu Dec 21, 2023, 8:39AM","18"
"Illia Zabarnyi","BOU","D","md","Active","Reserve","Thu Dec 21, 2023, 8:39AM","18"
"Diogo Jota","LIV","F","sean","Reserve","Inj Res","Wed Dec 20, 2023, 8:17PM","18"
"Andrew Robertson","LIV","D","sean","Inj Res","Reserve","Wed Dec 20, 2023, 8:17PM","18"
"John McGinn","AVL","M","mg","Active","Reserve","Wed Dec 20, 2023, 10:09AM","18"
"Ryan Christie","BOU","M","mg","Reserve","Active","Wed Dec 20, 2023, 10:09AM","18"
"Jacob Ramsey","AVL","M","vu","Active","Reserve","Tue Dec 19, 2023, 2:24PM","18"
"Ben Chilwell","CHE","D","vu","Reserve","Active","Tue Dec 19, 2023, 2:24PM","18"
"Diogo Dalot","MUN","D","zach","Active","Reserve","Tue Dec 19, 2023, 12:49PM","18"
"Oleksandr Zinchenko","ARS","D","zach","Reserve","Active","Tue Dec 19, 2023, 12:49PM","18"
"Leandro Trossard","ARS","M","katabe","Active","Reserve","Tue Dec 19, 2023, 11:24AM","18"
"Sven Botman","NEW","D","katabe","Inj Res","Active","Tue Dec 19, 2023, 11:24AM","18"
"Harry Maguire","MUN","D","katabe","Active","Inj Res","Tue Dec 19, 2023, 11:24AM","18"
"Harry Maguire","MUN","D","katabe","Reserve","Active","Tue Dec 19, 2023, 11:23AM","18"
"Ibrahima Konate","LIV","D","mg","Active","Reserve","Tue Dec 19, 2023, 7:28AM","18"
"Cristian Romero","TOT","D","mg","Reserve","Active","Tue Dec 19, 2023, 7:28AM","18"
"Odsonne Edouard","CRY","F","mg","Active","Reserve","Tue Dec 19, 2023, 7:21AM","18"
"John McGinn","AVL","M","mg","Reserve","Active","Tue Dec 19, 2023, 7:21AM","18"
"Benoit Badiashile","CHE","D","sean","Reserve","Active","Tue Dec 19, 2023, 7:19AM","18"
"Ben Chilwell","CHE","D","mg","Reserve","Active","Tue Dec 19, 2023, 7:18AM","18"
"Vitalii Mykolenko","EVE","D","mg","Active","Reserve","Tue Dec 19, 2023, 7:18AM","18"
"Youri Tielemans","AVL","M","vu","Active","Reserve","Tue Dec 19, 2023, 7:15AM","18"
"Simon Adingra","BHA","F","vu","Reserve","Active","Tue Dec 19, 2023, 7:15AM","18"
"Harry Maguire","MUN","D","katabe","Active","Reserve","Mon Dec 18, 2023, 7:11PM","18"
"Leandro Trossard","ARS","M","katabe","Reserve","Active","Mon Dec 18, 2023, 7:11PM","18"
"Ruben Dias","MCI","D","katabe","Active","Reserve","Mon Dec 18, 2023, 3:37PM","18"
"Harry Maguire","MUN","D","katabe","Reserve","Active","Mon Dec 18, 2023, 3:37PM","18"
"Hwang Hee-Chan","WOL","F","katabe","Active","Reserve","Mon Dec 18, 2023, 3:36PM","18"
"Callum Wilson","NEW","F","katabe","Reserve","Active","Mon Dec 18, 2023, 3:36PM","18"
"Vitaly Janelt","BRF","M","katabe","Active","Reserve","Mon Dec 18, 2023, 3:36PM","18"
"Sean Longstaff","NEW","M","katabe","Reserve","Active","Mon Dec 18, 2023, 3:36PM","18"
"Vitalii Mykolenko","EVE","D","mg","Reserve","Active","Mon Dec 18, 2023, 3:10PM","18"
"Harry Toffolo","NOT","D","tj","Active","Reserve","Mon Dec 18, 2023, 3:03PM","18"
"Ethan Pinnock","BRF","D","tj","Reserve","Active","Mon Dec 18, 2023, 3:03PM","18"
"Bernardo Silva","MCI","M","rafa","Active","Reserve","Mon Dec 18, 2023, 11:52AM","18"
"Gabriel Magalhaes","ARS","D","rafa","Reserve","Active","Mon Dec 18, 2023, 11:52AM","18"
"Jack Grealish","MCI","M","rafa","Active","Reserve","Mon Dec 18, 2023, 11:51AM","18"
"Matheus Cunha","WOL","F","rafa","Reserve","Active","Mon Dec 18, 2023, 11:51AM","18"
"Malo Gusto","CHE","D","vu","Reserve","Active","Mon Dec 18, 2023, 11:36AM","18"
"Timothy Castagne","LEI/FUL","D","vu","Active","Reserve","Mon Dec 18, 2023, 11:36AM","18"
"Joelinton","NEW","M","vu","Reserve","Inj Res","Mon Dec 18, 2023, 11:33AM","18"
"Christopher Nkunku","CHE","F","vu","Inj Res","Reserve","Mon Dec 18, 2023, 11:33AM","18"
"Jacob Ramsey","AVL","M","vu","Reserve","Active","Mon Dec 18, 2023, 11:33AM","18"
"Joelinton","NEW","M","vu","Active","Reserve","Mon Dec 18, 2023, 11:33AM","18"
"Simon Adingra","BHA","F","vu","Active","Reserve","Mon Dec 18, 2023, 11:18AM","18"
"Raul Jimenez","FUL","F","vu","Reserve","Active","Mon Dec 18, 2023, 11:18AM","18"
"Jacob Ramsey","AVL","M","vu","Active","Reserve","Mon Dec 18, 2023, 11:18AM","18"
"Ivan Toney","BRF","F","vu","Reserve","Active","Mon Dec 18, 2023, 11:18AM","18"
"John McGinn","AVL","M","mg","Active","Reserve","Mon Dec 18, 2023, 9:58AM","18"
"Ryan Christie","BOU","M","mg","Active","Reserve","Mon Dec 18, 2023, 9:07AM","18"
"Eberechi Eze","CRY","M","mg","Reserve","Active","Mon Dec 18, 2023, 9:07AM","18"
"Kieran Trippier","NEW","D","tj","Reserve","Active","Sun Dec 17, 2023, 11:12PM","18"
"Ethan Pinnock","BRF","D","tj","Active","Reserve","Sun Dec 17, 2023, 11:12PM","18"
"Rico Lewis","MCI","D","ben","Active","Reserve","Sun Dec 17, 2023, 3:26PM","18"
"William Saliba","ARS","D","ben","Reserve","Active","Sun Dec 17, 2023, 3:26PM","18"
"Destiny Udogie","TOT","D","ben","Active","Reserve","Sun Dec 17, 2023, 3:26PM","18"
"Willian","FUL","F","ben","Reserve","Active","Sun Dec 17, 2023, 3:26PM","18"
"Nathan Ake","MCI","D","ben","Active","Reserve","Sun Dec 17, 2023, 3:26PM","18"
"Jarrad Branthwaite","EVE","D","ben","Reserve","Active","Sun Dec 17, 2023, 3:26PM","18"
