"Player","Team","Position","Team","From","To","Date (PST)","Gameweek"
"Virgil van Dijk","LIV","D","mg","Reserve","Active","Sun May 5, 2024, 5:39AM","36"
"Trevoh Chalobah","CHE","D","mg","Active","Reserve","Sun May 5, 2024, 5:39AM","36"
"Virgil van Dijk","LIV","D","mg","Active","Reserve","Sun May 5, 2024, 5:39AM","36"
"Trevoh Chalobah","CHE","D","mg","Reserve","Active","Sun May 5, 2024, 5:39AM","36"
"Emiliano Martinez","AVL","G","zach","Active","Inj Res","Sun May 5, 2024, 5:33AM","36"
"James Ward-Prowse","SOU/WHU","M","md","Active","Reserve","Sun May 5, 2024, 5:23AM","36"
"Valentin Barco","BHA","D","vu","Active","Reserve","Sat May 4, 2024, 7:47PM","37"
"Ben White","ARS","D","vu","Reserve","Active","Sat May 4, 2024, 7:47PM","37"
"Chris Wood","NOT","F","tj","Active","Reserve","Sat May 4, 2024, 5:22PM","37"
"Rasmus Hojlund","MUN","F","tj","Reserve","Active","Sat May 4, 2024, 5:22PM","37"
"Dominik Szoboszlai","LIV","M","tj","Active","Reserve","Sat May 4, 2024, 5:22PM","37"
"Dejan Kulusevski","TOT","M","tj","Reserve","Active","Sat May 4, 2024, 5:22PM","37"
"Valentin Barco","BHA","D","vu","Reserve","Active","Sat May 4, 2024, 5:12PM","37"
"Valentin Barco","BHA","D","vu","Active","Reserve","Sat May 4, 2024, 5:12PM","36"
"Marc Cucurella","CHE","D","vu","Reserve","Active","Sat May 4, 2024, 5:12PM","36"
"Jarrod Bowen","WHU","M","rafa","Reserve","Active","Sat May 4, 2024, 9:09AM","36"
"Matheus Cunha","WOL","F","rafa","Active","Reserve","Sat May 4, 2024, 9:09AM","36"
"Mohamed Salah","LIV","F","sean","Reserve","Active","Sat May 4, 2024, 9:02AM","36"
"Julian Alvarez","MCI","F","sean","Active","Reserve","Sat May 4, 2024, 9:02AM","36"
"Jacob Murphy","NEW","M","vu","Reserve","Active","Sat May 4, 2024, 7:56AM","37"
"Alejandro Garnacho","MUN","M","vu","Active","Reserve","Sat May 4, 2024, 7:56AM","37"
"Chris Wood","NOT","F","tj","Reserve","Active","Sat May 4, 2024, 6:05AM","36"
"Harvey Barnes","NEW","M","tj","Active","Reserve","Sat May 4, 2024, 6:05AM","36"
"Alejandro Garnacho","MUN","M","vu","Reserve","Active","Fri May 3, 2024, 5:28PM","37"
"Jacob Murphy","NEW","M","vu","Active","Reserve","Fri May 3, 2024, 5:28PM","37"
"Giovani Lo Celso","TOT","M","vu","Active","Reserve","Fri May 3, 2024, 5:27PM","37"
"Dejan Kulusevski","TOT","M","tj","Active","Reserve","Fri May 3, 2024, 5:26PM","36"
"Neto","BOU","G","md","Active","Reserve","Fri May 3, 2024, 3:55PM","36"
"David Raya","BRF/ARS","G","md","Reserve","Active","Fri May 3, 2024, 3:55PM","36"
"Giovani Lo Celso","TOT","M","vu","Reserve","Active","Fri May 3, 2024, 3:41PM","36"
"Alejandro Garnacho","MUN","M","vu","Active","Reserve","Fri May 3, 2024, 3:41PM","36"
"James Ward-Prowse","SOU/WHU","M","md","Reserve","Active","Fri May 3, 2024, 12:30PM","36"
"John McGinn","AVL","M","sean","Active","Reserve","Fri May 3, 2024, 11:48AM","36"
"Abdoulaye Doucoure","EVE","M","sean","Reserve","Active","Fri May 3, 2024, 11:48AM","36"
"Richarlison","TOT","F","aj","Inj Res","Reserve","Fri May 3, 2024, 11:45AM","36"
"Pervis Estupinan","BHA","D","aj","Reserve","Inj Res","Fri May 3, 2024, 11:45AM","36"
"James Maddison","TOT","M","aj","Active","Reserve","Fri May 3, 2024, 11:45AM","36"
"Anthony Elanga","NOT","F","aj","Reserve","Active","Fri May 3, 2024, 11:45AM","36"
"Alex Iwobi","EVE/FUL","M","mg","Reserve","Active","Fri May 3, 2024, 11:29AM","36"
"Callum Hudson-Odoi","CHE/NOT","F","mg","Active","Reserve","Fri May 3, 2024, 11:29AM","36"
"Dominik Szoboszlai","LIV","M","tj","Reserve","Active","Fri May 3, 2024, 11:28AM","36"
"Rodrigo Muniz","FUL","F","tj","Active","Reserve","Fri May 3, 2024, 11:28AM","36"
"Virgil van Dijk","LIV","D","mg","Reserve","Active","Fri May 3, 2024, 11:28AM","36"
"Trevoh Chalobah","CHE","D","mg","Active","Reserve","Fri May 3, 2024, 11:28AM","36"
"Trevoh Chalobah","CHE","D","mg","Reserve","Active","Fri May 3, 2024, 11:28AM","36"
"Alex Iwobi","EVE/FUL","M","mg","Active","Reserve","Fri May 3, 2024, 11:28AM","36"
"Rayan Ait-Nouri","WOL","D","mg","Reserve","Inj Res","Fri May 3, 2024, 11:27AM","36"
"Virgil van Dijk","LIV","D","mg","Inj Res","Reserve","Fri May 3, 2024, 11:27AM","36"
"Emil Krafth","NEW","D","mg","Reserve","Active","Fri May 3, 2024, 11:20AM","36"
"Emerson Royal","TOT","D","mg","Active","Reserve","Fri May 3, 2024, 11:20AM","36"
"Pedro Porro","TOT","D","mg","Reserve","Active","Fri May 3, 2024, 11:07AM","36"
"Idrissa Gueye","EVE","M","mg","Active","Reserve","Fri May 3, 2024, 11:07AM","36"
"Rayan Ait-Nouri","WOL","D","mg","Inj Res","Reserve","Fri May 3, 2024, 11:07AM","36"
"Virgil van Dijk","LIV","D","mg","Reserve","Inj Res","Fri May 3, 2024, 11:07AM","36"
"Emerson Royal","TOT","D","mg","Reserve","Active","Fri May 3, 2024, 11:06AM","36"
"Emil Krafth","NEW","D","mg","Active","Reserve","Fri May 3, 2024, 11:06AM","36"
"Ben Brereton","SHU","F","katabe","Reserve","Active","Fri May 3, 2024, 11:04AM","36"
"Lyle Foster","BUR","F","katabe","Active","Reserve","Fri May 3, 2024, 11:04AM","36"
"Mario Lemina","WOL","M","katabe","Active","Reserve","Fri May 3, 2024, 11:04AM","36"
"Elijah Adebayo","LUT","F","katabe","Reserve","Active","Fri May 3, 2024, 11:04AM","36"
"Callum Wilson","NEW","F","ben","Active","Reserve","Fri May 3, 2024, 10:10AM","36"
"Casemiro","MUN","M","ben","Reserve","Active","Fri May 3, 2024, 10:10AM","36"
"Rayan Ait-Nouri","WOL","D","mg","Reserve","Inj Res","Fri May 3, 2024, 9:15AM","36"
