"","Goalkeeper"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Min","CS","GA","Sv","YC","RC","PKS","TkW","DIS","G","KP","AT","Int","CLR","CoS","AER","HCS","Sm","OG","SOT"
"*06do9*","D","Milos Kerkez","BOU","D","-","BOU 1<br/>@CHE 2 F","46.75","11.69","4","301","0","2","1","2","2","1","1","1","1","4","9","4","2","2","0","1","0","4","2"
"*062x7*","D","Rico Lewis","MCI","D","-","WHU 1<br/>@MCI 3 F","11.5","11.5","1","78","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","1"
"*05afe*","D","Teden Mengi","MUN/LUT","D","-","FUL 4<br/>@LUT 2 F","12","6","2","151","0","0","0","0","0","0","0","0","0","1","16","0","3","3","0","0","0","5","0"
"*04ylt*","D","Chris Mepham","BOU","D","-","BOU 1<br/>@CHE 2 F","36.25","18.12","2","180","0","2","1","0","3","0","1","0","0","1","5","0","1","19","0","0","0","5","0"
"*05ybq*","D","Vitalii Mykolenko","EVE","D","-","EVE 1<br/>@ARS 2 F","31.25","15.62","2","180","0","3","0","0","6","0","0","0","1","1","5","2","0","2","0","0","0","2","1"
"*05y7i*","D","Jarell Quansah","LIV","D","-","WOL 0<br/>@LIV 2 F","12.25","12.25","1","90","0","0","0","0","2","0","1","0","0","0","5","0","0","8","0","0","0","1","0"
"*05tr5*","D","Mads Roerslev","BRF","D","-","NEW 4<br/>@BRF 2 F","5.75","5.75","1","60","0","1","0","0","0","1","0","0","0","0","1","1","0","1","0","0","0","1","0"
"*05omu*","D","Ruben Dias","MCI","D","-","WHU 1<br/>@MCI 3 F","26.5","13.25","2","180","0","0","0","0","5","0","0","0","0","3","2","0","2","2","0","0","0","1","1"
"*02oq6*","D","Luke Shaw","MUN","D","-","MUN 2<br/>@BHA 0 F","53.5","8.92","6","479","0","5","0","0","4","5","4","0","1","4","20","1","5","8","0","0","0","7","2"
"*06dmj*","D","Jurrien Timber","ARS","D","-","EVE 1<br/>@ARS 2 F","1.25","1.25","1","49","0","0","0","0","1","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"*03rvw*","D","Harry Toffolo","NOT","D","-","NOT 2<br/>@BUR 1 F","36","9","4","351","0","4","0","1","2","1","1","0","3","5","10","1","3","9","0","0","0","11","0"
"*05yg5*","D","Toti","WOL","D","-","WOL 0<br/>@LIV 2 F","36.75","12.25","3","268","0","2","0","0","2","1","2","0","0","2","9","3","2","12","0","0","0","3","1"
"*06ezb*","D","Micky van de Ven","TOT","D","-","TOT 3<br/>@SHU 0 F","12.25","6.12","2","178","0","0","0","0","1","1","1","0","0","0","3","1","2","7","0","0","0","3","0"
"*05oh0*","D","Jan-Paul van Hecke","BHA","D","-","MUN 2<br/>@BHA 0 F","5.25","5.25","1","90","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","1","0"
