"","Goalkeeper"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Min","CS","GA","Sv","YC","RC","PKS","TkW","DIS","G","KP","AT","Int","CLR","CoS","AER","HCS","Sm","OG","SOT"
"*03dx7*","D","Ben Mee","BRF","D","-","NEW 4<br/>@BRF 2 F","39.75","19.88","2","180","1","2","1","1","1","1","0","0","0","1","5","1","3","6","0","0","0","3","0"
"*06fun*","D","Gonzalo Montiel","NOT","D","-","NOT 2<br/>@BUR 1 F","20","20","1","73","0","1","1","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","1"
"*05ojg*","D","Nelson Semedo","WOL","D","-","WOL 0<br/>@LIV 2 F","23.5","11.75","2","180","0","0","0","0","7","2","1","0","0","1","2","5","0","3","0","0","0","4","1"
"*06c5z*","D","Gabriel Osho","LUT","D","-","FUL 4<br/>@LUT 2 F","11.25","5.62","2","180","0","1","0","0","0","4","1","0","0","4","5","1","4","3","0","0","0","6","0"
"*05yct*","D","Nathan Patterson","EVE","D","-","EVE 1<br/>@ARS 2 F","18.75","18.75","1","90","0","1","0","0","2","0","0","0","1","0","3","1","0","1","0","0","0","0","1"
"*05ohc*","D","Sergio Reguilon","TOT/MUN/BRF","D","-","NEW 4<br/>@BRF 2 F","18","18","1","78","0","1","0","0","3","0","0","0","1","1","0","0","0","1","0","0","0","0","1"
"*0635j*","D","Chris Richards","CRY","D","-","AVL 0<br/>@CRY 5 F","8.75","8.75","1","90","0","0","0","0","2","0","0","0","0","1","3","0","1","3","0","0","0","2","0"
"*063e7*","D","Marcos Senesi","BOU","D","-","BOU 1<br/>@CHE 2 F","69.25","17.31","4","326","1","3","2","1","8","2","3","0","1","5","13","2","1","3","0","0","0","4","2"
"*02lp5*","D","Adam Smith","BOU","D","-","BOU 1<br/>@CHE 2 F","10.25","5.12","2","143","0","3","0","0","2","1","2","0","3","1","3","2","0","0","0","0","0","5","0"
"*02yl5*","D","John Stones","MCI","D","-","WHU 1<br/>@MCI 3 F","1.25","1.25","1","42","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0"
"*05n3v*","D","Konstantinos Tsimikas","LIV","D","-","WOL 0<br/>@LIV 2 F","126.5","18.07","7","545","0","13","3","0","12","4","0","0","7","5","6","4","1","3","0","0","0","5","4"
"*06ezb*","D","Micky van de Ven","TOT","D","-","TOT 3<br/>@SHU 0 F","43.25","14.42","3","225","1","0","0","1","3","1","0","0","0","1","7","0","1","2","0","0","0","1","2"
"*056ir*","D","Adam Webster","BHA","D","-","MUN 2<br/>@BHA 0 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05a6e*","D","Neco Williams","NOT","D","-","NOT 2<br/>@BUR 1 F","7.5","7.5","1","86","0","1","0","0","3","2","1","0","1","1","2","2","1","0","0","0","0","3","0"
"*02lny*","D","Ashley Young","EVE","D","-","EVE 1<br/>@ARS 2 F","25","8.33","3","207","0","2","0","0","2","0","1","0","2","3","4","1","0","2","0","0","0","2","1"
"*03arh*","D","Kurt Zouma","WHU","D","-","WHU 1<br/>@MCI 3 F","102.25","11.36","9","810","1","1","0","5","5","1","1","0","0","10","39","0","9","26","0","0","0","17","1"
"*060wh*","M","Alejandro Garnacho","MUN","M","-","MUN 2<br/>@BHA 0 F","249.5","13.86","18","1,453","3","32","6","16","11","29","2","0","5","10","8","27","1","2","0","2","0","23","4"
"*04yo6*","M","Miguel Almiron","NEW","M","-","NEW 4<br/>@BRF 2 F","24.5","6.12","4","317","0","4","0","2","3","5","0","0","0","3","0","1","0","0","0","0","0","5","0"
"*02lpf*","M","Ross Barkley","CHE/LUT","M","-","FUL 4<br/>@LUT 2 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04f67*","M","Philip Billing","BOU","M","-","BOU 1<br/>@CHE 2 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*067yu*","M","Facundo Buonanotte","BHA","M","-","MUN 2<br/>@BHA 0 F","1.5","1.5","1","58","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","0","0","0","0"
"*061ve*","M","Ryan Christie","BOU","M","-","BOU 1<br/>@CHE 2 F","46.5","23.25","2","161","0","8","2","1","3","0","0","0","2","3","5","3","0","3","0","0","0","5","0"
"*05re5*","M","Carney Chukwuemeka","CHE","M","-","BOU 1<br/>@CHE 2 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*043qy*","M","Lewis Cook","BOU","M","-","BOU 1<br/>@CHE 2 F","30.5","15.25","2","180","0","7","0","1","2","1","0","0","3","1","4","1","0","4","0","0","0","5","0"
"*06fy7*","M","Nicolas Dominguez","NOT","M","-","NOT 2<br/>@BUR 1 F","13","13","1","90","0","1","0","0","1","0","0","0","0","1","0","4","1","2","0","0","0","3","0"
"*037wp*","M","Christian Eriksen","MUN","M","-","MUN 2<br/>@BHA 0 F","41","13.67","3","270","1","4","1","1","2","4","0","0","1","2","1","2","2","0","0","0","0","8","0"
"*068ym*","M","Enzo Fernandez","CHE","M","-","BOU 1<br/>@CHE 2 F","62","12.4","5","388","2","2","1","5","5","6","2","0","0","4","3","4","2","2","0","1","0","7","1"
"*051k8*","M","Conor Gallagher","CHE","M","-","BOU 1<br/>@CHE 2 F","28","9.33","3","241","0","2","0","1","4","0","1","0","0","6","2","2","1","2","0","0","0","2","1"
"*052cc*","M","Billy Gilmour","BHA","M","-","MUN 2<br/>@BHA 0 F","19","19","1","90","0","4","1","0","3","0","1","0","0","0","1","1","0","0","0","0","0","1","0"
"*06fg0*","M","Gustavo Hamer","SHU","M","-","TOT 3<br/>@SHU 0 F","34.5","17.25","2","167","1","7","0","2","0","1","0","0","0","0","0","2","1","0","0","0","0","8","0"
"*05tr9*","M","Mathias Jensen","BRF","M","-","NEW 4<br/>@BRF 2 F","47.5","15.83","3","253","0","8","0","0","7","3","0","0","5","4","3","6","1","2","0","0","0","3","1"
"*0554i*","M","Joelinton","NEW","M","-","NEW 4<br/>@BRF 2 F","106.5","13.31","8","665","2","13","1","5","10","22","3","0","0","9","5","11","3","9","0","0","0","12","2"
"*05unu*","M","Romeo Lavia","SOU/CHE","M","-","BOU 1<br/>@CHE 2 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0574a*","M","Giovani Lo Celso","TOT","M","-","TOT 3<br/>@SHU 0 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*052cd*","M","Mason Mount","MUN","M","-","MUN 2<br/>@BHA 0 F","25.5","6.38","4","289","0","4","0","0","5","5","1","0","0","2","0","3","1","2","0","0","0","4","1"
"*068a1*","M","Mykhailo Mudryk","CHE","M","-","BOU 1<br/>@CHE 2 F","193","12.06","16","1,023","4","21","4","11","5","14","3","0","2","6","2","24","1","4","0","2","0","13","5"
"*05tr8*","M","Christian Norgaard","BRF","M","-","NEW 4<br/>@BRF 2 F","69.5","11.58","6","487","1","6","0","2","12","1","1","0","1","12","4","0","1","8","0","0","0","9","1"
"*051k3*","M","Jacob Ramsey","AVL","M","-","AVL 0<br/>@CRY 5 F","16.5","5.5","3","206","0","3","0","2","2","4","0","0","0","0","1","1","0","1","0","0","0","2","0"
"*068a7*","M","Pablo Sarabia","WOL","M","-","WOL 0<br/>@LIV 2 F","245.5","12.92","19","1,368","3","41","5","14","10","17","2","0","12","7","6","12","0","4","0","0","0","22","5"
"*04sat*","M","Emile Smith Rowe","ARS","M","-","EVE 1<br/>@ARS 2 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0639x*","M","Marcus Tavernier","BOU","M","-","BOU 1<br/>@CHE 2 F","11.5","11.5","1","81","0","0","0","2","3","1","0","0","1","0","1","2","0","0","0","0","0","1","0"
"*05oh2*","M","Thiago Alcantara","LIV","M","-","WOL 0<br/>@LIV 2 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04yo7*","M","Youri Tielemans","AVL","M","-","AVL 0<br/>@CRY 5 F","14.5","7.25","2","170","0","2","0","1","5","3","1","0","0","0","0","2","0","0","0","0","0","3","0"
"*02lp7*","M","Andros Townsend","EVE/LUT","M","-","FUL 4<br/>@LUT 2 F","5.5","5.5","1","61","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","2","0"
"*0643w*","M","Ryan Trevitt","BRF","M","-","NEW 4<br/>@BRF 2 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02oq8*","M","James Ward-Prowse","SOU/WHU","M","-","WHU 1<br/>@MCI 3 F","450","14.06","32","2,675","6","60","7","16","29","10","4","0","25","33","38","11","8","24","0","0","0","56","5"
"*0626q*","F","Simon Adingra","BHA","F","-","MUN 2<br/>@BHA 0 F","109","10.9","10","814","2","14","0","7","4","10","2","0","4","6","8","18","0","4","0","0","0","14","0"
"*03vll*","F","Michail Antonio","WHU","F","-","WHU 1<br/>@MCI 3 F","9.5","4.75","2","143","0","1","0","0","0","3","1","0","0","0","1","4","1","4","0","0","0","1","1"
"*058vb*","F","Cameron Archer","AVL/SHU","F","-","TOT 3<br/>@SHU 0 F","6","6","1","90","0","1","0","0","1","2","0","0","0","0","0","1","0","0","0","0","0","3","0"
"*04rzl*","F","Taiwo Awoniyi","NOT","F","-","NOT 2<br/>@BUR 1 F","12.5","6.25","2","62","0","1","1","0","3","1","0","0","0","0","0","0","1","0","0","0","0","3","0"
"*05gvx*","F","Armando Broja","CHE/FUL","F","-","FUL 4<br/>@LUT 2 F","1.5","1.5","1","45","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"*066t3*","F","Jamie Donley","TOT","F","-","TOT 3<br/>@SHU 0 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05ogb*","F","Anthony Elanga","NOT","F","-","NOT 2<br/>@BUR 1 F","16","16","1","90","1","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","3","0"
"*061xs*","F","Julio Enciso","BHA","F","-","MUN 2<br/>@BHA 0 F","14.5","7.25","2","150","0","2","0","2","0","1","1","0","1","0","1","4","0","0","0","0","0","3","0"
"*067yv*","F","Cody Gakpo","LIV","F","-","WOL 0<br/>@LIV 2 F","21","10.5","2","76","1","1","0","2","0","0","0","0","0","1","0","1","1","2","0","0","0","1","0"
"*05w91*","F","Hwang Hee-Chan","WOL","F","-","WOL 0<br/>@LIV 2 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04qrc*","F","Raul Jimenez","FUL","F","-","FUL 4<br/>@LUT 2 F","19","19","1","71","1","2","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1"
"*03vlm*","F","Anthony Martial","MUN","F","-","MUN 2<br/>@BHA 0 F","2","2","1","60","0","0","0","0","0","1","0","0","0","0","2","0","0","1","0","0","0","1","0"
"*05r8o*","F","Jean-Philippe Mateta","CRY","F","-","AVL 0<br/>@CRY 5 F","86","21.5","4","335","4","5","1","9","3","14","0","0","1","0","0","4","1","8","0","0","0","4","2"
"*067yz*","F","Matheus Cunha","WOL","F","-","WOL 0<br/>@LIV 2 F","33","11","3","264","1","3","0","2","3","11","0","0","0","0","2","8","0","1","0","0","0","7","1"
"*06cm0*","F","Christopher Nkunku","CHE","F","-","BOU 1<br/>@CHE 2 F","16.5","5.5","3","186","0","2","0","2","1","2","0","0","0","1","0","1","0","3","0","0","0","4","0"
"*068lx*","F","Dango Ouattara","BOU","F","-","BOU 1<br/>@CHE 2 F","8.5","4.25","2","96","0","0","0","1","2","0","0","0","0","2","4","0","0","1","0","0","0","3","0"
"*068y0*","F","Antoine Semenyo","BOU","F","-","BOU 1<br/>@CHE 2 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02lnx*","F","Danny Welbeck","BHA","F","-","MUN 2<br/>@BHA 0 F","4.5","4.5","1","77","0","0","0","1","0","1","0","0","0","0","2","1","0","0","0","0","0","0","1"
"*02m5b*","F","Chris Wood","NOT","F","-","NOT 2<br/>@BUR 1 F","6","6","1","90","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","1","0"
"","Totals","","","","","","5328","13.09","407","32,027","80","561","79","240","348","378","75","1","161","280","434","375","99","329","1","6","2","546","94"

